full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,source,target
Anyone else bridge $sol to $Bnb and not see it on the other end? Transaction looks good maybe balance isn t updating with @MetaMask. What a garbage app that is,1.80E+31,2024-06-03 23:35:50+00:00,RmbSol,1.77E+31,en,"Red Deer, Alberta",3,30,0,7,https://x.com/RmbSol/status/1797774224788254774,MetaMask,1,RmbSol,MetaMask
Where is the DEGEN GOAT pointing to? You know the answer! #blockchain #tothemoon #bnb #cryptocommunity #cryptocommunity #DEGAWORLD #degenplay #degengalaxy https://t.co/JzlAdTEmcR,1.80E+31,2024-06-03 22:26:35+00:00,DEGA_WORLD,1.69E+31,en,NaN,0,1,4,5,https://x.com/DEGA_WORLD/status/1797756797488640278,,0,DEGA_WORLD,
Step into a sustainable future with AI. #targetium #newtoken #crypto #bsc #bnb #btc #eth https://t.co/P36XJg7MHf,1.80E+31,2024-06-03 21:05:30+00:00,Targetium_Tech,1.10E+31,en,NaN,2,3,7,13,https://x.com/Targetium_Tech/status/1797736390312264074,,0,Targetium_Tech,
@Zshan1551535 @AltcoinDailyio @DEGA_WORLD Year of the GOAT! #DEGAWORLD #LFGOAT $DEGA #DEGENPLAY #PLAY2WIN #BLOCKCHAINGAMING #BNB #GAMING #MAKESBSCGREATAGAIN https://t.co/xt6zqLo3m7,1.80E+31,2024-06-03 21:02:07+00:00,ManiaIncoming,1.67E+31,en,NaN,0,0,1,7,https://x.com/ManiaIncoming/status/1797735540823068885,"Zshan1551535,AltcoinDailyio,DEGA_WORLD",3,ManiaIncoming,Zshan1551535
$BTC again hits 70k$ today!!! #BTC #ETH #BNB #Memes https://t.co/N27ZaZpPkQ,1.80E+30,2024-06-03 20:55:41+00:00,BNB_BAY,532361691.0,en,"Dubai, United Arab Emirates",0,0,3,8,https://x.com/BNB_BAY/status/1797733921934979302,,0,BNB_BAY,
#BNB Market Cap just reached $93B. It s in the same valuation as Dell Starbucks and Airbnb. Binance was founded in mid 2017. This is crazy https://t.co/o1edqU0iU6,1.80E+30,2024-06-03 20:51:30+00:00,ItsEasypop,1.47E+30,en,"Oporto, Portugal",0,1,0,4,https://x.com/ItsEasypop/status/1797732867335950505,,0,ItsEasypop,
New Investors are pouring into #TruMAGA the project is gaining adoption and gaining popularity so quick join this outstanding project and let s make #Crypto Great Again @trumpmagahat #btc #eth #bnb #usdt #shib #brett #pepe #mother #Daddy https://t.co/87YMovp0aF,1.80E+31,2024-06-03 20:20:32+00:00,meshari79441510,1.29E+31,en,NaN,0,6,10,17,https://x.com/meshari79441510/status/1797725076319834499,trumpmagahat,1,meshari79441510,trumpmagahat
$NOT is still Not Out!!! #BTC #NOTCOİN #BNB #Memes https://t.co/xdjPBJYj2b,1.80E+31,2024-06-03 20:15:11+00:00,BNB_BAY,532361691.0,en,"Dubai, United Arab Emirates",0,0,7,12,https://x.com/BNB_BAY/status/1797723727188373692,,0,BNB_BAY,
Limited time #Tangem #VOLT branded #ColdStorage ️ #Shib #Eth #Bnb #MATİC #MEMECOİNS #bullrun #solanamemcoins @ImKryptoKrissy @EverRise @BleevesCrypto @AiAnarchist @bigcatsreal @piggycoinbsc @Montage_Token @WadiCryptoHunt @MR_BERT_CEO @MikeThaInvestor https://t.co/pKemqevKdY,1.80E+31,2024-06-03 20:12:46+00:00,VoltEL12,1.69E+31,en,NaN,0,2,17,33,https://x.com/VoltEL12/status/1797723118259359901,"ImKryptoKrissy,EverRise,BleevesCrypto,AiAnarchist,bigcatsreal,piggycoinbsc,Montage_Token,WadiCryptoHunt,MR_BERT_CEO,MikeThaInvestor",10,VoltEL12,ImKryptoKrissy
Top Projects by average daily development activity on #Github in the last 30 days $HBAR $OP $ADA $LINK $STRK $SNT $ICP $ATOM $ETH $DOT $APT $EGLD $SNX $SUI $AVAX #Crypto #BTC #ETH #BNB #Web3 #Blockchain https://t.co/T17a1z3oyo,1.80E+31,2024-06-03 19:58:46+00:00,ChargedVentures,1.56E+31,en,Metaverse,0,2,5,7,https://x.com/ChargedVentures/status/1797719596658721218,,0,ChargedVentures,
$GHX has joined the #AI ecosystem of BNB Chain in the computing section! This will bring several benefits: -Ecosystem Expansion -Collaboration and Synergies -Security and Reliability -Technological Innovation DYOR on @GamerHashCom and don't get caught off guard! ,1.80E+31,2024-06-03 19:52:32+00:00,ooohmat,1.51E+31,en,open an account on 👇,0,1,1,12,https://x.com/ooohmat/status/1797718025962958897,GamerHashCom,1,ooohmat,GamerHashCom
$BNB is finally making moves higher with the local triangle completed. Target hasn't changed. The question is did any of y'all buy when I mentioned it was likely a good place to do so around the large range support at ~200 or even just prior to the descending dotted resistance https://t.co/kPxXvtFg0A,1.80E+31,2024-06-03 19:45:44+00:00,TXWestCapital,7.68E+30,en,"Houston, TX",0,1,1,16,https://x.com/TXWestCapital/status/1797716315332816928,,0,TXWestCapital,
Another organic #CEX spot listing for the #RWA @realio_network $RIO is my largest holding for this cycle #altcoinboom #btc #bnb #eth #AltcoinGems #crypto,1.80E+31,2024-06-03 19:25:41+00:00,AardvarkRun,1.73E+31,en,Not Financial Advice,0,0,0,3,https://x.com/AardvarkRun/status/1797711271124680744,realio_network,1,AardvarkRun,realio_network
Will $XRP go to 0.54$ again? Keep watching! #BTC #XRP #BNB #Memes https://t.co/B0NQyuLwOf,1.80E+31,2024-06-03 19:01:31+00:00,BNB_BAY,532361691.0,en,"Dubai, United Arab Emirates",0,0,5,8,https://x.com/BNB_BAY/status/1797705188700282987,,0,BNB_BAY,
rewards on 1 bnb buys all day humans!,1.80E+31,2024-06-03 18:25:11+00:00,jonnyfiveai,1.74E+31,en,NaN,0,0,3,4,https://x.com/jonnyfiveai/status/1797696046589747391,,0,jonnyfiveai,
Attention @ThenaFi_ veTHE Holders: New bribe just dropped for Epoch 73: HBR/BNB: 10 $WBNB https://t.co/AArhRiOBIO,1.80E+31,2024-06-03 18:00:00+00:00,0xHarborMarket,1.74E+30,en,BNBChain,1,0,3,18,https://x.com/0xHarborMarket/status/1797689707607781490,ThenaFi_,1,0xHarborMarket,ThenaFi_
I have always been a massive fan of $BNB and continue to hold since $5 Hands down the best tokenomics in the space very clear and powerful use-case for the token and it's the leading exchange in #web3. $BNB to $1000 easily The Binance ecosystem is loaded 🆙 #binance https://t.co/59ENKDJz8R,1.80E+30,2024-06-03 17:06:09+00:00,Erbsyweb3,1.30E+31,en,On-Chain  🇨🇦,0,2,21,73,https://x.com/Erbsyweb3/status/1797676155535044632,,0,Erbsyweb3,
